Region,Crop,Season,Farm_Method,Greenhouse,Area_ha,Days_Since_Spray,Pesticide_Amount_L,Temp_C,Humidity,Rainfall_7d_mm,Soil_pH,Sample_Weight_g,Year,Pesticide_Result
충북,포도,봄,관행,Y,0.87,35.8,0.96,21.9,47.7,78.6,6.56,248,2018,0
제주,고추,가을,관행,Y,2.47,16.3,1.27,27.3,50.9,60.5,5.98,249,2020,0
전북,토마토,여름,유기,Y,0.7,0.0,1.96,25.3,62.9,1.0,6.6,274,2022,1
전남,사과,가을,유기,Y,0.8,43.1,0.7,28.1,59.9,73.8,6.53,238,2023,0
충북,배추,봄,관행,N,2.27,32.5,0.54,23.3,66.4,92.6,5.09,211,2018,0
전북,토마토,겨울,관행,N,2.42,23.3,1.39,23.1,55.5,102.1,5.95,260,2019,0
경북,사과,겨울,관행,N,0.98,37.5,0.33,21.4,63.2,36.3,6.38,158,2019,0
충북,토마토,여름,유기,N,1.15,30.3,1.59,22.6,88.2,91.6,6.13,384,2021,0
충북,토마토,겨울,관행,N,2.15,32.8,0.54,21.3,59.5,68.1,7.2,120,2020,0
전북,포도,가을,관행,N,9.82,21.4,1.16,17.2,79.7,86.1,6.3,270,2018,0
경기,포도,봄,유기,Y,0.78,34.7,1.33,22.3,63.6,94.1,6.66,238,2021,0
경남,포도,봄,관행,Y,0.37,0.0,1.96,29.4,68.1,16.3,7.2,211,2019,1
전북,포도,봄,관행,N,1.24,33.5,1.02,13.1,66.4,125.6,6.6,196,2023,0
경북,토마토,봄,유기,N,2.17,14.4,0.43,26.5,30.0,140.6,5.87,114,2018,0
제주,감귤,겨울,유기,N,2.01,36.4,0.43,16.6,72.4,93.8,6.42,163,2023,0
충북,포도,겨울,관행,Y,0.86,39.5,0.63,16.4,73.5,62.2,5.55,185,2018,0
강원,고추,가을,유기,N,0.62,29.2,0.77,24.0,66.3,21.6,6.0,146,2021,0
경북,배추,가을,유기,Y,0.93,41.5,0.63,26.0,84.2,76.7,6.14,153,2023,0
강원,배추,겨울,관행,N,2.25,44.0,1.66,26.4,67.4,55.0,6.38,176,2020,0
제주,상추,여름,관행,Y,2.94,40.6,1.15,20.9,75.3,35.8,5.93,162,2020,0
경남,포도,여름,관행,N,1.13,42.4,1.45,24.9,53.3,83.0,6.06,195,2019,0
경남,상추,봄,관행,Y,4.31,30.5,0.91,29.8,64.8,90.5,6.99,237,2020,0
강원,사과,봄,유기,Y,0.1,22.4,1.37,23.8,74.6,97.1,7.63,181,2021,0
경남,감귤,겨울,유기,N,1.39,41.0,0.66,14.0,61.5,70.1,7.08,180,2021,0
충남,감귤,봄,관행,N,0.6,25.5,0.95,21.1,47.6,88.5,7.7,166,2020,0
충남,상추,여름,유기,N,4.55,34.7,0.0,24.1,73.6,97.0,5.96,200,2018,0
전북,토마토,여름,유기,N,3.07,30.1,0.67,32.3,53.2,74.1,7.47,186,2022,0
충북,토마토,가을,유기,N,1.97,47.4,0.03,8.1,41.3,114.7,6.79,59,2022,0
충북,감귤,가을,유기,N,2.99,31.2,0.75,27.7,46.0,108.5,7.1,199,2022,0
경북,감귤,봄,유기,N,1.3,27.8,0.38,21.4,72.9,96.8,6.64,170,2021,0
충북,토마토,봄,유기,Y,2.0,37.4,0.44,27.1,53.4,78.9,6.26,193,2019,0
경남,고추,겨울,관행,Y,1.02,35.8,0.94,27.2,64.2,120.6,6.71,246,2022,0
제주,상추,봄,관행,N,1.75,4.3,3.24,28.8,62.7,0.0,6.92,209,2019,1
전북,감귤,겨울,유기,N,3.57,32.0,0.88,24.0,59.9,67.6,7.22,129,2023,0
강원,사과,겨울,관행,N,0.49,42.7,0.55,21.7,94.4,53.2,5.24,205,2018,0
전남,사과,가을,유기,N,1.0,44.1,0.95,21.7,52.9,51.7,5.7,232,2019,0
충북,배추,가을,관행,N,0.9,36.9,0.85,21.8,69.0,28.9,6.19,203,2020,0
강원,토마토,여름,유기,N,0.67,25.6,0.36,25.6,88.5,77.6,6.24,216,2022,0
경북,토마토,봄,관행,Y,1.67,10.7,2.01,25.1,74.8,22.8,6.59,180,2022,1
충남,토마토,여름,유기,Y,1.69,32.6,1.09,34.7,72.7,44.9,7.22,154,2020,0
경북,사과,여름,유기,N,1.65,30.0,0.55,20.4,48.9,71.7,6.45,256,2020,0
전북,사과,가을,유기,N,1.68,41.7,0.74,20.0,56.3,151.3,6.12,212,2018,0
제주,상추,가을,유기,N,0.75,27.7,0.18,28.0,80.7,64.5,6.92,88,2018,0
전남,감귤,여름,유기,N,2.27,50.8,1.07,23.4,69.4,105.7,6.7,164,2019,0
강원,토마토,여름,관행,Y,1.85,29.9,1.47,22.6,86.5,47.9,4.82,213,2022,0
강원,토마토,겨울,관행,N,1.05,44.5,0.87,25.0,70.2,105.6,6.78,148,2018,0
충북,토마토,가을,유기,N,1.04,49.2,0.64,19.9,50.7,44.3,6.68,214,2020,0
경남,토마토,가을,관행,N,1.38,31.2,0.68,28.5,61.7,65.1,5.68,242,2020,0
제주,감귤,여름,관행,N,0.86,0.0,3.22,21.6,70.8,23.7,6.66,324,2021,1
경기,사과,겨울,유기,Y,1.02,40.8,0.85,30.0,74.8,122.9,7.12,185,2020,0
경남,배추,가을,유기,N,4.43,43.8,0.53,21.2,60.0,44.9,5.3,172,2022,0
경북,배추,가을,유기,Y,0.39,39.3,0.39,21.2,72.8,75.5,6.87,200,2023,0
경남,포도,봄,유기,Y,2.07,34.6,0.93,22.3,97.8,67.6,7.12,94,2022,0
충북,고추,겨울,유기,Y,0.87,37.0,1.04,24.0,60.1,139.9,7.05,152,2020,0
충북,토마토,여름,관행,Y,1.79,37.5,1.7,19.1,72.7,76.9,6.87,264,2020,0
전남,상추,겨울,유기,N,4.26,41.4,0.3,22.0,81.8,47.3,6.5,220,2018,0
경북,고추,겨울,유기,N,0.4,7.1,2.27,18.2,86.9,0.0,5.71,184,2021,1
강원,사과,여름,관행,Y,2.16,44.3,1.37,14.0,70.4,67.8,5.72,225,2023,0
제주,고추,가을,관행,Y,0.55,25.6,0.23,28.0,62.9,87.5,5.6,180,2019,0
충남,감귤,가을,관행,Y,1.38,27.2,0.88,25.3,83.2,115.7,6.22,145,2018,0
제주,상추,여름,유기,Y,0.84,18.4,0.61,13.4,30.8,82.2,5.74,196,2020,0
강원,토마토,여름,관행,Y,3.36,30.2,0.4,24.1,67.3,55.2,6.65,270,2021,0
전남,토마토,봄,관행,N,1.25,13.9,0.5,22.1,60.7,54.7,5.32,156,2023,0
경남,감귤,가을,유기,Y,1.26,2.2,1.37,25.0,72.3,6.8,6.09,205,2023,1
제주,상추,여름,유기,Y,1.67,36.1,0.39,27.1,82.2,58.0,6.93,289,2018,0
충남,토마토,가을,관행,Y,0.59,32.0,1.5,23.7,84.1,54.0,6.58,201,2023,0
전북,토마토,가을,유기,N,0.79,32.1,1.21,17.7,62.1,68.3,6.45,177,2020,0
경북,고추,가을,관행,N,3.13,40.7,0.24,22.0,66.7,88.6,5.94,300,2018,0
전북,감귤,가을,유기,Y,3.34,40.6,0.69,13.7,79.5,62.5,5.91,169,2023,0
경북,배추,여름,관행,Y,1.96,43.0,1.19,19.7,71.3,71.7,5.94,211,2018,0
충남,포도,가을,관행,Y,3.06,2.3,2.13,28.0,90.7,2.9,6.4,247,2019,1
강원,토마토,봄,관행,Y,6.19,23.5,0.73,15.4,67.7,103.0,5.07,211,2023,0
전북,배추,여름,유기,N,1.2,26.8,0.93,21.8,66.4,95.8,6.15,162,2021,0
전북,배추,여름,관행,Y,0.92,29.6,0.25,21.8,50.2,90.5,6.46,161,2020,0
전북,사과,여름,관행,N,0.65,15.9,0.55,23.6,90.7,69.5,6.04,170,2022,0
강원,고추,봄,관행,Y,1.95,22.1,1.39,30.1,66.3,92.6,6.42,249,2021,0
충북,사과,겨울,관행,N,3.57,19.9,1.15,8.9,70.5,85.2,6.08,169,2021,0
전남,포도,여름,관행,Y,2.06,16.0,0.92,22.4,78.1,24.0,7.44,126,2019,2
충남,사과,가을,유기,Y,0.6,32.9,0.93,15.4,70.8,90.2,5.99,50,2021,0
경기,감귤,봄,관행,Y,0.52,24.6,1.04,26.4,76.2,116.7,6.03,219,2022,0
충남,상추,겨울,유기,N,0.29,0.0,2.67,28.7,83.5,9.2,6.72,155,2020,1
전남,고추,겨울,관행,Y,1.45,52.2,0.7,25.6,85.3,70.2,6.19,192,2020,0
충북,배추,겨울,유기,Y,3.51,60.0,0.27,31.5,68.1,43.9,5.3,153,2023,0
제주,포도,겨울,유기,N,1.79,25.8,0.94,22.4,48.1,54.6,6.57,258,2019,0
전남,배추,가을,관행,N,0.86,23.0,0.87,31.5,79.3,51.4,5.92,201,2019,0
경남,포도,가을,유기,N,3.06,34.1,0.22,22.0,69.9,102.2,7.0,310,2019,0
충남,상추,봄,유기,N,0.36,36.2,0.91,22.2,73.1,60.6,5.69,138,2022,0
경북,고추,봄,관행,N,2.79,37.8,0.33,18.7,33.4,101.1,6.42,187,2021,0
충북,토마토,가을,관행,Y,2.55,15.7,0.74,23.6,72.4,78.7,6.92,114,2020,0
전북,포도,가을,관행,N,0.35,42.2,1.14,19.3,64.1,15.5,7.7,221,2023,0
전북,토마토,겨울,유기,Y,2.66,41.4,0.68,22.4,65.9,73.3,5.65,112,2022,0
강원,고추,여름,관행,N,0.95,51.9,1.18,11.5,71.2,59.3,6.05,344,2020,0
충남,고추,가을,관행,Y,0.86,45.3,1.11,21.9,57.3,73.7,6.32,235,2018,0
경남,고추,겨울,유기,Y,2.11,19.3,0.49,19.5,67.1,69.0,5.65,180,2023,0
전남,상추,겨울,관행,N,2.48,41.4,0.47,17.4,49.1,35.5,5.84,206,2022,0
전남,토마토,가을,유기,N,2.18,23.0,0.93,17.2,50.4,81.6,6.0,286,2018,0
전남,포도,가을,관행,N,1.44,8.7,1.78,39.0,61.8,0.0,5.95,244,2018,1
제주,포도,여름,관행,Y,0.09,35.5,0.27,23.5,80.9,69.8,6.32,265,2023,0
경기,포도,겨울,유기,N,1.25,28.3,0.67,19.4,70.0,32.1,6.68,315,2023,0
경남,고추,가을,유기,N,1.77,37.1,0.97,19.2,58.7,91.1,6.05,203,2018,0
경남,상추,봄,유기,Y,1.04,38.5,0.53,23.0,87.9,91.1,6.51,205,2019,0
강원,상추,겨울,관행,Y,4.34,13.8,0.62,17.1,79.4,78.4,7.03,234,2020,0
경기,토마토,가을,유기,Y,3.22,29.9,1.26,20.9,62.9,36.9,6.55,189,2022,0
충북,고추,겨울,유기,Y,1.0,48.1,0.77,25.2,63.3,30.6,6.25,103,2019,0
제주,고추,봄,관행,N,4.71,20.1,1.04,19.2,47.6,107.6,5.34,256,2018,0
경북,토마토,겨울,유기,N,2.26,32.4,1.12,23.5,77.3,72.7,5.91,176,2019,0
경기,고추,겨울,유기,Y,3.01,35.2,0.38,20.6,77.5,39.6,6.74,143,2019,0
전남,사과,겨울,관행,N,3.39,14.2,3.08,22.3,86.6,7.5,6.37,230,2019,1
제주,토마토,가을,유기,N,2.44,46.2,1.94,20.8,52.2,72.3,5.82,202,2020,0
강원,사과,봄,유기,Y,0.58,33.4,0.42,20.5,60.6,47.1,5.63,187,2020,0
충북,토마토,여름,유기,Y,2.48,43.6,1.03,21.0,52.5,80.4,6.18,203,2021,0
경기,감귤,겨울,관행,N,1.03,13.6,1.23,25.1,67.9,20.6,4.54,275,2019,2
경북,포도,봄,관행,N,4.87,4.8,1.92,24.2,74.7,0.0,6.55,83,2018,1
전남,고추,겨울,관행,N,3.18,35.8,0.64,31.2,52.7,82.1,7.39,163,2021,0
전남,고추,가을,유기,N,1.9,32.2,0.66,21.8,84.0,47.7,7.1,182,2023,0
경기,상추,여름,유기,Y,2.66,23.5,1.07,20.0,73.0,73.2,6.63,208,2018,0
충북,상추,가을,관행,Y,0.5,22.3,1.85,22.0,87.7,2.1,6.31,177,2019,2
경기,사과,겨울,유기,N,0.5,31.7,1.27,12.4,62.8,44.5,6.71,244,2020,0
강원,감귤,가을,유기,N,0.76,10.4,0.98,19.4,69.7,113.7,6.05,185,2018,0
전북,감귤,가을,유기,Y,1.48,9.5,1.88,32.0,58.3,95.3,6.58,221,2021,2
제주,포도,여름,관행,Y,0.91,32.4,0.82,22.2,45.4,10.6,5.89,273,2019,0
충북,사과,여름,관행,N,1.88,43.2,1.24,22.8,65.4,49.1,5.62,207,2020,0
충북,감귤,겨울,관행,N,2.3,34.9,0.53,23.7,70.7,88.4,7.39,197,2019,0
제주,포도,여름,관행,N,1.58,43.1,0.12,16.4,64.7,77.7,5.17,185,2019,0
경기,감귤,가을,유기,N,1.46,15.0,0.77,21.3,56.5,53.4,5.65,201,2018,0
제주,사과,여름,관행,Y,1.5,53.2,0.75,29.7,51.6,49.9,6.65,212,2020,0
충북,감귤,여름,관행,Y,4.38,33.2,0.87,22.0,80.5,45.3,7.24,288,2018,0
충남,상추,봄,유기,Y,1.77,44.3,1.34,33.2,73.3,107.0,6.97,107,2023,0
제주,포도,겨울,관행,Y,0.32,38.9,1.51,23.7,81.3,60.3,6.99,184,2020,0
충남,토마토,여름,유기,N,2.13,39.3,0.67,19.8,74.3,78.1,7.55,148,2022,0
전남,상추,가을,관행,Y,2.51,32.8,1.13,23.5,76.0,139.6,6.41,265,2022,0
전남,고추,여름,관행,Y,1.91,6.5,1.72,30.3,75.2,16.5,6.55,136,2020,1
제주,고추,여름,관행,N,1.49,19.3,1.26,17.6,58.2,93.0,5.89,230,2023,0
경북,사과,가을,관행,N,2.49,19.5,1.99,19.9,73.3,50.2,7.35,402,2023,2
충북,사과,겨울,관행,Y,4.65,8.7,1.55,25.3,79.2,19.1,6.03,199,2019,1
경기,사과,가을,관행,N,1.88,44.9,0.41,18.9,70.6,68.3,6.18,235,2018,0
경북,고추,겨울,유기,Y,2.69,35.9,0.6,22.2,66.5,51.5,7.17,235,2021,0
제주,상추,가을,유기,N,1.35,24.4,0.72,11.6,46.2,127.3,6.36,216,2018,0
충북,상추,겨울,유기,N,1.42,38.9,0.98,18.4,71.6,48.2,6.18,126,2020,0
경북,감귤,가을,관행,Y,1.18,34.8,0.98,24.0,72.3,102.3,6.53,174,2021,0
경기,토마토,봄,유기,Y,2.29,37.8,0.61,24.4,54.1,95.9,5.26,69,2022,0
충북,감귤,봄,관행,N,1.95,25.5,0.68,23.7,71.8,125.9,6.32,77,2019,0
충북,감귤,여름,관행,Y,1.27,39.4,0.9,27.9,74.4,42.2,6.54,287,2018,0
충북,배추,겨울,관행,N,3.17,28.4,1.59,25.0,68.8,72.4,6.79,164,2020,0
충북,배추,가을,유기,Y,0.97,3.1,1.98,24.8,53.0,4.6,6.32,253,2022,1
강원,포도,가을,유기,Y,3.61,28.5,0.79,26.3,66.3,69.2,6.18,158,2022,0
제주,포도,봄,유기,N,2.91,44.8,0.68,17.9,88.7,82.8,6.01,218,2021,0
충북,고추,여름,유기,Y,2.04,35.9,0.37,24.1,77.8,111.4,6.31,137,2023,0
제주,감귤,겨울,관행,Y,2.56,19.8,1.64,16.2,62.7,37.7,6.84,267,2021,2
경북,고추,가을,유기,N,0.42,24.7,1.47,21.5,60.5,138.2,5.67,159,2018,0
충북,포도,가을,관행,N,1.98,35.8,0.39,22.7,58.6,72.3,6.5,104,2020,0
충남,사과,가을,관행,Y,2.22,52.9,0.45,20.2,63.7,92.2,7.24,231,2022,0
충남,감귤,봄,유기,Y,3.39,26.1,0.83,24.7,70.6,99.4,5.51,269,2019,0
경남,고추,겨울,관행,Y,3.16,0.0,0.98,28.6,61.9,33.6,6.46,172,2020,1
전남,상추,봄,관행,N,1.28,27.3,0.28,23.4,54.5,88.7,6.31,240,2018,0
충남,사과,봄,관행,Y,0.97,27.7,0.46,21.2,85.5,81.3,6.47,167,2023,0
강원,감귤,봄,관행,Y,0.68,30.5,0.38,24.4,61.9,77.7,6.33,195,2023,0
경기,사과,가을,관행,N,1.1,16.0,0.65,17.6,74.2,79.7,6.2,157,2022,2
경남,포도,봄,관행,N,3.02,8.1,1.96,26.0,68.4,0.6,6.38,207,2023,1
전북,상추,여름,유기,N,1.24,42.6,1.04,18.2,93.4,72.9,6.74,192,2020,0
전남,포도,여름,유기,Y,2.41,35.6,1.13,33.4,57.1,120.2,6.48,230,2023,0
전북,고추,봄,관행,N,2.99,40.0,0.46,14.2,53.6,41.7,6.51,275,2022,0
강원,사과,여름,관행,N,2.55,39.0,0.77,23.4,81.3,87.1,5.48,277,2022,0
경북,토마토,여름,관행,N,0.91,3.4,1.39,27.9,64.2,44.6,6.35,150,2022,2
전남,배추,가을,관행,N,0.85,33.1,1.36,25.8,66.8,40.1,6.4,104,2018,2
경기,고추,여름,관행,N,0.23,24.6,0.42,23.8,41.3,98.4,5.48,177,2022,0
제주,상추,가을,유기,Y,1.05,36.6,1.36,17.3,49.4,87.5,7.04,171,2020,0
경기,사과,봄,유기,N,1.9,44.9,1.53,15.4,63.0,90.7,6.16,236,2022,0
전북,감귤,겨울,관행,Y,1.06,43.1,0.65,32.6,71.3,91.3,6.26,245,2018,0
