년도,성별,지역코드,신용대출,담보대출
2022,1,23000000,162816,438538
2019,1,28000000,178778,125703
2020,1,24000000,112292,388234
2018,0,32000000,335977,329404
2019,1,28000000,185230,162581
2019,0,23000000,243752,315956
2021,1,29000000,332453,471240
2022,0,24000000,319114,239728
2020,0,28000000,384618,428292
2018,1,27000000,358684,470501
2021,1,35000000,201456,166421
2022,1,22000000,330161,51605
2021,0,11000000,388024,122303
2022,1,22000000,155570,208211
2022,0,35000000,320846,237210
2020,0,23000000,443600,311949
2022,0,21000000,50404,388269
2021,1,11000000,484159,194990
2022,1,26000000,228998,208518
2020,0,35000000,472405,174040
2020,0,27000000,324907,194118
2021,1,26000000,199456,468034
2019,0,33000000,241172,281966
2019,1,35000000,410286,316468
2022,0,24000000,190932,388467
2018,1,31000000,285365,321255
2022,0,11000000,392786,481326
2021,1,26000000,100612,66389
2021,0,32000000,335718,172177
2021,1,26000000,335668,353571
2021,1,28000000,250244,209818
2021,0,22000000,323060,172883
2020,0,28000000,54809,268958
2019,1,33000000,213273,288213
2021,0,11000000,234402,443333
2018,1,11000000,194528,437952
2018,0,33000000,499613,162221
2018,1,23000000,433432,325378
2018,1,35000000,88765,310669
2020,1,28000000,478032,284936
2018,1,25000000,357250,365585
2021,1,32000000,366076,50846
2022,1,30000000,460316,60954
2018,0,22000000,369235,391383
2020,0,11000000,71949,294761
2020,0,23000000,251152,358658
2018,1,31000000,349888,400380
2022,1,32000000,226615,409723
2018,1,28000000,420463,187541
2020,1,22000000,142193,473321
2019,0,31000000,86187,354245
2021,0,28000000,188311,114323
2020,1,26000000,436598,141922
2018,0,31000000,326633,239139
2021,0,33000000,239089,230448
2018,1,34000000,111877,226659
2018,0,35000000,486341,480192
2019,1,23000000,362066,285659
2021,0,22000000,144074,439678
2021,1,29000000,213121,379728
2019,1,34000000,87131,154537
2020,1,35000000,486160,390621
2018,1,24000000,165765,291983
2022,0,24000000,386107,92533
2018,1,22000000,156884,313972
2018,1,31000000,175917,51917
2020,1,28000000,336429,332762
2018,0,23000000,349770,82254
2019,1,30000000,223880,311987
2019,0,24000000,497087,417436
2021,1,23000000,331342,97362
2022,0,24000000,462974,332272
2018,0,26000000,65254,435925
2018,1,35000000,94238,292353
2020,0,28000000,51252,240455
2019,1,26000000,351908,115545
2022,1,32000000,389853,132180
2021,1,24000000,480657,137958
2019,0,29000000,365826,453081
2021,0,29000000,371638,445435
2020,1,26000000,131317,351953
2020,1,33000000,377359,428892
2018,0,34000000,128587,55287
2022,1,29000000,56949,307665
2021,1,24000000,288897,477603
2019,1,22000000,367537,58512
2020,0,26000000,254625,182414
2018,0,32000000,188013,158872
2018,0,30000000,75934,462432
2021,1,30000000,466602,297754
2020,1,21000000,306434,143070
2022,1,34000000,387889,129767
2020,0,31000000,406600,147829
2021,1,28000000,365557,469830
2021,1,29000000,409383,479474
2020,1,29000000,354462,92078
2021,1,31000000,300875,418432
2020,0,11000000,120390,133524
2019,0,32000000,233401,277645
2020,1,25000000,303490,62219
2020,0,26000000,93088,312379
2021,0,33000000,297940,355073
2021,1,32000000,415340,177309
2018,1,27000000,483027,379588
2018,0,29000000,367623,189639
2019,1,28000000,266464,413978
2018,0,21000000,268441,246513
2020,1,30000000,332107,396699
2021,0,29000000,367267,385842
2018,1,21000000,175911,436594
2018,0,24000000,414612,298320
2019,0,32000000,273777,186487
2019,0,24000000,385621,217231
2020,1,25000000,326532,93925
2021,0,22000000,55569,187023
2019,0,27000000,119836,137388
2018,1,35000000,154573,58007
2021,1,32000000,479802,307802
2021,0,11000000,308090,485048
2018,0,25000000,193087,108596
2019,1,23000000,95002,433245
2018,1,11000000,297666,473739
2021,1,34000000,187326,401005
2022,1,26000000,460360,305266
2022,1,28000000,205286,398884
2020,0,32000000,261791,65524
2018,1,23000000,252846,462498
2018,0,23000000,187162,205002
2020,0,25000000,192709,443293
2020,0,31000000,203487,175501
2020,1,34000000,74071,332755
2021,0,22000000,108243,198056
2018,0,32000000,437971,64060
2021,1,31000000,420359,264057
2020,0,25000000,222312,355447
