Play_Time,Win_Rate,Avg_Score,Missions_Completed,Items_Collected,Purchase_Amount,Guild_Member,Play_Days,Rank_Points,Event_Participation,Game_Level
99.91,0.494,4856,166,190,231.31,N,192,1701,5,0
129.77,0.284,6712,151,576,282.56,Y,187,2396,36,2
155.17,0.268,3679,89,17,98.99,N,314,831,5,0
162.67,0.363,5525,191,294,104.84,Y,218,1246,14,1
167.6,0.786,6269,263,320,97.75,Y,353,2427,39,2
99.08,0.302,4329,75,971,117.64,N,91,320,6,0
92.26,0.359,4361,21,974,159.43,N,106,1468,6,0
171.48,0.584,5038,110,847,96.21,Y,91,2237,24,1
108.52,0.351,5814,97,348,271.71,N,239,2228,7,0
43.46,0.314,4978,219,532,246.27,Y,17,1896,0,0
52.0,0.594,6461,163,509,83.52,Y,314,1911,27,1
64.83,0.458,4307,10,861,83.13,N,282,875,38,1
149.83,0.638,3007,105,748,54.3,N,360,2324,30,1
128.55,0.839,7965,221,907,122.3,Y,350,780,38,2
161.43,0.306,4093,145,555,62.17,N,30,816,21,1
94.36,0.839,4147,171,920,52.18,Y,274,1733,24,1
129.51,0.832,4901,82,746,120.37,N,186,1204,39,1
157.54,0.78,5101,99,741,29.59,N,269,1624,20,1
101.44,0.642,4420,43,665,161.38,Y,319,1758,1,1
147.41,0.634,4974,29,342,123.9,Y,214,2567,9,1
80.28,0.647,4940,15,612,237.64,N,6,1760,24,1
98.22,0.683,5262,189,363,100.34,N,316,1129,34,1
97.1,0.212,1464,51,653,137.97,Y,162,1906,24,1
48.25,0.871,7821,174,262,150.98,Y,170,1001,16,1
149.22,0.61,4779,286,801,191.71,Y,215,2048,12,2
91.84,0.747,5871,210,575,92.13,N,333,1539,27,2
120.75,0.464,2933,174,713,53.95,N,194,1740,35,1
148.84,0.209,4293,39,229,102.09,N,79,432,11,0
146.79,0.557,3992,149,793,161.25,Y,268,200,22,1
159.92,0.555,7205,267,804,176.35,N,232,599,17,2
114.09,0.506,4121,118,154,14.73,Y,28,2547,9,0
94.6,0.438,6137,248,356,445.44,Y,196,811,16,1
115.22,0.375,4024,213,680,52.42,Y,287,1939,3,1
18.76,0.569,4321,83,874,139.67,Y,323,1115,21,1
33.17,0.463,4632,46,739,206.69,N,106,1356,4,0
40.64,0.879,6926,10,476,77.62,Y,193,1473,18,1
60.17,0.321,2165,86,306,181.2,Y,301,2486,35,1
143.99,0.424,3027,103,910,14.58,N,215,1851,5,0
65.67,0.406,2079,198,875,185.82,Y,156,1731,10,1
97.31,0.58,3369,173,897,170.35,Y,71,2278,28,1
197.95,0.549,3783,146,311,111.76,Y,20,1120,36,1
98.62,0.651,2578,218,442,161.61,Y,253,2141,38,2
164.25,0.865,3899,232,251,250.81,Y,352,2041,4,1
63.98,0.4,1978,215,954,211.16,N,221,2034,9,1
107.67,0.685,3473,269,868,81.26,Y,285,1407,39,1
63.0,0.218,6801,111,181,101.36,Y,248,1238,20,1
99.66,0.384,5605,247,254,70.68,N,130,978,33,0
170.42,0.525,5281,129,556,63.52,Y,193,1016,0,1
16.36,0.222,3496,59,421,150.35,N,102,950,4,0
146.07,0.632,2696,48,465,70.06,Y,85,1720,8,0
134.26,0.675,3291,31,374,150.11,N,217,1363,3,0
84.35,0.723,4935,286,677,77.54,Y,237,1759,35,1
33.24,0.562,6302,54,899,86.74,N,360,1793,32,1
124.33,0.623,6354,251,918,40.75,N,90,864,15,1
88.23,0.477,5946,236,460,147.35,N,109,846,3,0
133.96,0.229,3894,134,829,13.56,N,64,1363,4,0
121.31,0.27,5037,274,697,190.68,Y,346,1035,10,2
216.11,0.658,4518,272,204,343.35,Y,286,972,29,1
105.64,0.897,4698,278,796,89.08,N,123,2517,32,1
58.59,0.211,8056,151,356,86.05,N,353,580,21,1
130.76,0.59,2357,92,631,19.42,Y,258,2714,36,1
133.2,0.726,4648,17,723,55.27,N,176,1673,37,1
201.55,0.779,6818,252,944,162.84,N,142,2092,30,2
170.11,0.582,2801,262,948,179.24,N,209,2021,3,1
141.41,0.634,4034,163,804,97.92,N,35,1870,35,1
207.8,0.688,4206,25,510,156.14,N,66,2497,36,1
48.67,0.801,4665,247,406,41.5,Y,342,851,22,1
81.61,0.286,2606,92,446,115.49,N,79,1406,23,0
64.41,0.848,5893,166,951,224.88,Y,64,988,31,1
96.61,0.218,5999,199,212,132.26,Y,314,482,23,1
37.4,0.785,5763,48,529,248.2,N,345,1103,13,1
158.11,0.254,3694,23,682,253.33,N,299,2624,27,1
106.67,0.336,5130,28,32,121.0,Y,42,1396,31,0
31.75,0.203,3651,287,638,0.71,N,307,2690,5,2
59.07,0.512,4501,287,267,176.64,Y,101,2751,27,1
138.81,0.434,8230,130,287,26.79,Y,8,3297,6,1
170.29,0.316,5144,130,625,3.43,N,336,2643,22,2
239.8,0.516,3219,125,18,11.3,N,101,2915,4,1
294.83,0.482,5271,108,165,185.37,Y,242,1695,39,1
144.86,0.737,2972,165,460,121.71,Y,31,1637,26,1
60.63,0.825,3201,110,588,99.94,N,73,1677,18,1
10.0,0.657,3438,186,118,130.32,Y,322,1500,20,1
136.06,0.287,4334,116,367,12.23,N,218,1590,24,0
71.22,0.407,6405,190,314,70.43,Y,364,1951,4,0
95.08,0.839,5868,283,539,48.05,N,69,1221,20,1
83.27,0.262,5784,65,307,94.14,Y,325,673,28,0
111.55,0.485,3352,23,11,96.72,Y,319,1718,10,0
183.96,0.86,4188,160,534,126.32,Y,337,1084,19,2
129.42,0.865,5408,40,849,140.44,N,22,1146,13,1
110.48,0.488,4058,73,588,13.02,N,42,1414,6,0
57.86,0.667,4582,237,368,71.21,Y,195,1277,39,1
19.52,0.52,5662,128,487,84.63,Y,46,2166,23,1
90.82,0.727,4477,167,148,26.02,Y,27,1400,15,1
116.77,0.222,5339,233,244,23.28,N,297,2196,13,1
226.08,0.301,7389,42,443,19.93,Y,255,1624,27,1
127.82,0.63,4742,146,596,155.48,N,308,1447,4,1
178.96,0.363,6769,15,491,15.85,Y,341,1595,22,1
90.04,0.666,5839,152,963,19.13,N,56,725,9,1
48.9,0.446,2799,71,641,91.16,N,304,1703,35,1
62.09,0.821,3347,273,32,115.13,Y,20,2010,31,1
76.49,0.773,3750,81,529,82.57,Y,138,2095,30,1
247.71,0.545,3718,64,586,31.49,N,112,689,5,0
70.72,0.741,4865,9,53,23.83,Y,90,589,3,0
170.31,0.39,5922,44,391,89.21,N,263,1178,18,1
65.82,0.546,6883,68,872,75.52,N,48,2331,14,1
175.89,0.338,5462,72,363,60.72,Y,296,1633,28,1
143.1,0.803,4331,222,461,150.63,N,319,1035,28,1
110.6,0.776,1877,266,228,71.58,Y,244,628,15,1
117.55,0.832,5106,257,86,21.67,N,34,1090,6,0
80.71,0.814,5039,287,325,61.03,Y,219,1049,12,1
146.76,0.872,5274,269,775,124.87,Y,231,2061,20,2
92.7,0.36,8159,139,983,68.09,Y,139,2108,10,1
46.46,0.852,6861,120,663,123.25,Y,137,870,12,1
43.32,0.6,6178,196,832,141.46,Y,173,1952,9,1
130.36,0.496,3557,99,652,71.78,Y,363,1890,2,0
214.75,0.592,4231,183,662,82.26,N,6,792,24,1
129.6,0.44,4858,299,432,64.58,Y,188,1450,39,1
112.88,0.402,3837,63,70,125.26,Y,119,1704,38,0
137.15,0.369,5751,231,416,62.92,Y,202,1598,37,1
198.36,0.258,5535,280,866,116.4,Y,6,474,26,1
133.16,0.548,3368,163,540,97.95,Y,335,1579,29,1
95.34,0.821,6795,110,764,11.2,Y,169,1882,2,1
186.38,0.641,5153,80,60,121.15,N,354,2448,8,1
145.73,0.565,2406,54,209,91.14,N,60,1099,28,0
212.15,0.5,4923,99,305,195.94,N,215,1173,39,1
130.99,0.525,5422,225,365,27.29,Y,249,1375,36,1
46.53,0.346,6459,157,988,99.17,N,291,1675,25,1
37.91,0.776,4494,70,467,55.64,N,8,1558,4,1
219.06,0.339,6242,164,665,12.91,N,233,1863,38,1
223.42,0.702,5281,243,648,8.49,Y,58,825,12,1
109.23,0.732,3027,9,424,223.5,Y,158,1738,1,1
97.01,0.602,2877,11,966,99.41,Y,24,1055,30,1
207.69,0.804,6684,288,230,69.83,Y,25,1414,6,1
53.58,0.404,6794,225,44,17.68,N,280,2525,12,1
66.32,0.817,5484,174,747,214.51,Y,263,661,27,1
158.6,0.711,7244,272,657,43.73,Y,327,1332,38,2
96.32,0.759,6585,178,267,102.98,Y,257,735,36,1
119.69,0.665,6025,158,869,88.4,Y,219,1592,6,1
110.19,0.792,3633,67,170,284.89,Y,47,2129,7,0
140.25,0.895,7597,244,258,80.7,Y,280,1602,32,1
204.45,0.494,5804,230,162,52.67,Y,87,1430,12,1
125.44,0.77,4421,92,194,100.55,Y,43,2297,3,0
158.64,0.721,3998,222,731,108.88,N,268,1698,23,2
10.0,0.517,5385,219,706,420.02,N,216,1992,26,1
117.08,0.849,2493,33,646,79.62,N,58,1929,39,1
69.41,0.476,6050,52,862,26.36,N,202,200,19,1
46.87,0.596,3570,180,79,60.74,Y,253,1454,31,1
67.31,0.274,5556,188,624,100.38,N,184,853,21,1
99.95,0.358,4218,199,123,114.51,N,263,1002,36,1
174.95,0.788,4603,115,956,15.84,Y,186,2385,19,2
40.42,0.478,3865,251,637,54.76,Y,132,1275,27,1
121.84,0.476,4758,136,762,273.77,N,85,2636,38,1
90.95,0.372,7834,65,575,36.19,Y,97,655,35,1
100.34,0.544,7078,38,389,153.14,N,296,850,16,1
180.17,0.764,5532,263,689,62.49,Y,139,1957,20,1
152.29,0.827,4962,213,837,83.36,Y,262,1295,23,2
200.24,0.249,6266,141,186,18.27,N,134,1684,4,0
110.73,0.602,6695,66,873,67.63,N,194,1433,9,1
78.24,0.527,3755,33,729,99.45,N,223,1414,28,1
106.57,0.63,4884,50,94,80.42,N,176,1317,2,0
134.55,0.513,2267,36,936,71.14,N,272,1608,24,1
130.59,0.479,6685,161,188,125.72,Y,337,1885,19,1
54.94,0.53,8098,63,605,23.75,N,315,2469,19,1
125.43,0.607,5120,42,138,102.99,Y,336,1378,33,1
133.69,0.551,1812,88,204,7.56,Y,15,1264,10,0
271.05,0.531,5913,211,646,183.88,N,278,1187,31,1
232.61,0.772,3644,151,682,73.1,Y,266,2382,31,2
68.81,0.722,4005,50,690,145.95,N,153,1914,39,1
102.76,0.439,5940,225,349,1.91,Y,118,361,32,0
32.19,0.76,5382,149,822,131.53,Y,24,334,20,1
84.56,0.798,4268,60,58,42.35,Y,306,1002,14,1
138.94,0.307,4026,208,855,83.8,N,307,1638,31,1
192.35,0.608,5189,297,309,133.05,N,32,1480,37,1
76.25,0.4,4386,164,624,77.82,Y,214,1809,11,1
80.75,0.717,3336,52,906,121.83,Y,203,1395,14,1
10.0,0.367,4501,96,262,63.26,Y,67,2338,19,0
110.24,0.67,5509,181,417,193.97,Y,202,1963,4,1
56.26,0.379,4733,299,830,72.94,N,297,1547,12,1
88.23,0.558,2880,279,866,74.13,N,122,2187,6,1
67.39,0.864,6484,280,242,75.24,Y,266,511,30,1
114.34,0.467,892,250,513,82.0,Y,354,1449,19,1
14.54,0.813,4330,174,339,24.99,N,168,1583,24,1
31.98,0.891,4070,196,521,35.11,Y,43,1861,3,1
247.75,0.812,5222,221,385,161.38,Y,112,471,22,1
42.75,0.316,5842,216,15,145.89,N,54,1344,28,0
54.19,0.774,6690,193,925,139.35,Y,131,1740,27,1
230.21,0.223,3931,44,640,113.89,Y,236,1786,31,1
294.3,0.475,5880,264,467,53.66,Y,77,2212,4,1
49.71,0.81,5294,7,116,49.05,N,190,1957,21,1
97.91,0.682,2433,130,80,79.32,Y,364,1463,19,1
140.49,0.573,7851,133,483,179.06,N,100,1905,35,1
223.72,0.472,2842,298,652,95.24,Y,321,1379,27,1
60.79,0.769,5629,31,267,33.47,Y,114,1588,38,0
105.28,0.697,5585,145,746,19.85,N,226,1977,1,1
166.64,0.528,5413,110,398,149.13,Y,61,1473,17,0
146.09,0.825,4258,33,20,218.47,Y,101,1717,28,0
97.43,0.361,6241,71,541,14.92,Y,317,2077,3,1
111.97,0.319,2659,129,189,152.65,N,217,1927,26,1
37.51,0.65,4901,275,24,111.94,Y,210,2240,9,1
105.71,0.88,4154,119,138,41.06,N,188,2897,2,1
104.02,0.373,3984,264,291,96.19,Y,93,1922,26,0
133.93,0.375,5643,221,519,28.46,Y,339,1223,17,1
86.68,0.298,6616,246,989,68.54,Y,146,1807,16,1
148.29,0.802,4485,256,226,82.77,Y,9,1781,13,1
180.76,0.358,6171,215,66,192.7,N,331,1868,27,2
129.33,0.552,5075,221,199,65.86,Y,21,2397,24,1
141.11,0.894,3661,50,326,45.24,N,324,490,26,1
123.19,0.208,4613,216,213,105.79,Y,100,2408,31,1
120.01,0.59,4551,19,328,124.2,Y,29,2610,24,0
76.71,0.559,3955,222,969,43.78,Y,84,1841,2,0
138.99,0.765,5643,197,385,32.25,N,240,1855,6,1
114.16,0.449,5352,228,638,34.94,Y,201,1355,39,1
245.59,0.487,2614,194,687,193.16,N,60,1504,11,1
214.4,0.318,2523,113,138,120.31,N,113,1919,17,0
143.15,0.719,5637,113,255,62.38,N,80,1880,15,0
74.22,0.749,3777,180,421,171.48,Y,240,1932,39,1
53.26,0.296,5453,144,465,43.48,N,316,1876,32,1
191.47,0.475,6171,105,23,76.9,Y,96,2039,19,1
135.76,0.825,3094,149,648,27.99,Y,327,1972,27,1
148.81,0.202,2883,163,307,166.36,Y,151,885,22,1
15.32,0.409,7512,75,329,40.41,N,34,1999,25,0
175.65,0.589,5527,193,606,41.24,Y,121,2615,38,1
147.27,0.434,4371,97,949,107.54,N,319,1484,26,1
53.37,0.39,3599,83,866,6.59,N,296,2400,4,1
91.71,0.522,4234,128,979,22.19,Y,267,950,20,1
135.82,0.327,3214,35,419,136.19,Y,148,1482,32,0
123.15,0.571,6325,182,128,34.45,N,284,1115,1,0
102.47,0.695,3835,221,223,346.97,Y,260,2328,14,1
113.79,0.603,6640,286,350,92.44,Y,290,2484,8,1
104.88,0.265,4399,88,307,13.7,Y,205,1440,28,0
129.15,0.791,3435,163,215,225.92,N,187,2203,5,0
208.29,0.322,4361,153,159,92.36,Y,353,2490,24,1
10.0,0.735,1064,220,194,69.96,Y,345,1480,2,1
105.79,0.452,4819,189,661,92.11,Y,198,1578,36,1
130.59,0.748,4745,243,496,13.57,Y,77,1940,12,1
137.76,0.344,6237,255,47,78.89,N,152,994,16,2
97.69,0.331,2171,38,568,36.78,Y,186,1566,31,1
14.6,0.548,6743,109,843,75.12,N,248,2786,15,1
139.68,0.223,6231,197,431,54.89,N,119,1200,4,0
223.64,0.358,6878,165,325,88.52,Y,21,2012,36,1
27.97,0.707,4921,147,279,62.34,N,301,1814,4,1
171.83,0.786,6521,56,385,51.95,N,346,1402,19,1
100.29,0.257,2793,173,285,33.09,N,34,1633,4,0
116.32,0.817,6070,223,924,14.32,N,119,2552,27,1
56.83,0.758,3843,16,992,10.93,Y,161,1832,10,1
99.93,0.809,2523,179,349,23.0,N,278,1926,37,1
198.0,0.689,3314,272,924,128.76,Y,283,2461,8,2
154.96,0.672,5008,174,855,31.32,N,128,1326,26,1
223.94,0.568,3764,286,85,44.8,Y,117,872,0,0
190.64,0.657,5564,109,495,45.18,N,150,2561,4,1
146.35,0.843,2288,6,659,55.63,N,91,1582,11,1
224.64,0.27,1809,206,427,113.17,N,162,2036,35,2
146.34,0.421,7059,67,462,61.83,Y,99,1043,39,1
169.68,0.251,6356,7,499,146.38,N,26,1733,24,1
102.21,0.861,3426,58,691,23.29,N,261,842,13,1
123.99,0.512,4996,280,300,135.65,N,288,1538,12,1
78.15,0.673,6529,235,600,207.99,N,108,1111,8,1
179.38,0.789,5629,86,251,78.1,N,149,973,13,1
49.3,0.894,5222,181,890,29.14,N,149,1318,19,2
166.94,0.313,6643,105,93,114.82,Y,12,200,27,1
108.56,0.76,3904,57,76,79.19,Y,201,804,9,0
190.27,0.821,5047,296,47,100.4,N,170,1969,1,1
165.05,0.234,4973,245,356,149.41,N,343,1709,22,1
229.24,0.728,4591,112,610,57.93,Y,138,855,9,1
163.85,0.448,4415,109,985,50.47,Y,290,1829,16,1
25.68,0.654,5109,245,460,392.33,Y,145,973,28,1
115.98,0.56,5052,140,190,115.91,N,71,1933,35,1
49.68,0.382,3427,116,374,168.04,N,130,1431,21,0
88.9,0.295,6203,119,136,143.33,N,322,1305,37,0
210.67,0.282,3535,136,477,169.5,Y,97,1445,10,1
158.25,0.272,4673,158,731,102.98,Y,309,3036,28,2
78.06,0.646,4557,16,45,155.44,N,244,1045,39,1
59.18,0.446,5537,146,779,45.05,Y,273,1636,8,1
121.97,0.352,1821,134,236,13.89,Y,275,1969,29,1
47.01,0.684,6336,86,675,35.35,Y,191,923,18,1
79.73,0.681,3985,109,817,70.31,N,221,543,35,1
138.72,0.577,6830,130,778,63.06,Y,30,1139,12,1
189.32,0.854,4283,112,673,79.54,Y,256,1956,38,1
156.53,0.47,4927,272,696,42.72,Y,261,1295,31,1
10.0,0.785,7871,160,195,7.94,N,42,1361,28,1
138.26,0.253,4584,153,144,56.58,Y,191,2046,1,1
124.32,0.718,6858,82,387,20.3,Y,188,1016,3,1
144.83,0.892,5059,275,612,76.9,Y,116,1447,26,1
216.97,0.793,5623,11,621,106.67,Y,28,592,19,1
10.0,0.606,5105,167,779,55.66,N,8,1692,12,1
84.53,0.639,6272,54,315,27.37,N,80,1638,33,0
155.45,0.447,3972,231,866,82.75,Y,88,1977,19,1
25.1,0.676,3524,116,454,406.56,N,81,813,18,1
208.56,0.739,4042,91,253,115.87,Y,223,1385,12,1
142.1,0.899,5150,22,738,122.25,N,156,733,39,0
170.8,0.545,4669,238,136,50.85,Y,45,1352,14,1
85.74,0.243,6065,121,411,37.87,Y,35,2389,10,1
168.83,0.617,6957,82,783,169.77,N,240,1308,26,2
184.11,0.283,3536,254,773,4.46,N,341,680,1,1
133.97,0.371,3899,10,263,41.54,N,300,1092,23,0
134.06,0.43,2846,143,174,240.47,N,277,533,22,1
136.22,0.712,8046,52,41,73.23,N,119,723,9,0
68.2,0.329,5457,42,98,16.08,N,258,1903,30,0
111.15,0.316,5720,11,826,109.01,Y,34,632,1,0
110.85,0.231,2990,60,785,55.97,Y,66,1687,39,0
143.0,0.811,4998,284,510,12.1,N,55,1515,34,2
179.99,0.685,5764,136,574,94.19,N,71,1181,7,1
56.49,0.228,4621,299,333,83.82,N,133,1636,19,0
112.5,0.22,6614,83,200,80.1,Y,20,937,7,0
208.89,0.591,8468,229,21,114.66,Y,297,2005,24,2
75.38,0.398,3579,31,675,25.59,Y,262,1081,14,1
70.66,0.618,3467,36,44,101.48,N,233,1268,19,1
132.14,0.504,3683,9,113,88.56,Y,68,1197,38,1
170.66,0.846,7409,270,794,167.3,N,317,1914,24,2
120.69,0.401,6564,203,587,41.04,Y,7,1827,34,1
199.74,0.675,4797,224,494,188.06,Y,362,200,25,2
171.41,0.238,5055,278,226,141.56,N,266,1653,18,1
170.51,0.869,3775,103,158,70.94,Y,77,453,0,0
153.25,0.887,6335,218,471,80.06,N,75,1295,3,1
259.66,0.717,4430,153,364,5.1,Y,255,1435,21,1
107.69,0.526,4610,165,538,78.31,Y,295,1289,20,1
10.0,0.354,5913,200,173,134.65,N,172,1800,20,1
216.26,0.769,4718,143,239,62.35,N,26,1932,33,1
92.54,0.715,4648,12,121,167.01,Y,182,1036,3,0
126.47,0.355,5016,27,430,110.41,Y,177,1014,26,1
198.57,0.516,6193,152,283,290.48,N,122,1478,29,1
23.86,0.524,7470,173,231,43.71,N,330,574,25,1
44.9,0.778,5878,221,554,125.54,N,128,1214,9,1
23.92,0.679,6205,173,502,20.94,N,92,2309,16,1
72.35,0.65,4700,60,217,67.15,Y,248,596,2,0
146.38,0.655,3938,113,702,115.22,N,227,1296,7,1
151.45,0.389,5981,135,350,131.22,N,228,1145,32,1
136.58,0.46,5257,295,347,58.4,N,186,2703,24,1
35.23,0.232,2866,162,483,179.73,N,119,1177,34,1
10.0,0.751,4508,192,147,207.03,N,97,1212,27,1
123.26,0.503,4876,221,425,44.17,N,47,882,9,0
91.69,0.507,4234,111,586,68.87,Y,71,1506,32,0
147.56,0.372,7223,289,137,63.15,Y,213,1662,27,1
162.12,0.347,5720,204,569,50.82,N,151,969,7,1
128.29,0.611,7060,255,48,198.24,Y,271,2093,0,1
165.61,0.363,5395,226,607,196.68,Y,294,1663,30,1
133.75,0.245,5122,188,45,64.92,Y,206,2011,28,1
151.8,0.737,3595,14,183,125.1,N,42,1303,3,0
77.72,0.464,5018,177,356,165.66,N,6,1646,18,0
109.22,0.466,5020,43,618,95.16,N,87,1372,36,0
131.81,0.502,2949,182,721,60.92,Y,106,2375,31,1
169.23,0.771,4191,211,474,41.37,Y,31,1570,32,1
96.38,0.425,4515,165,139,133.8,Y,285,1505,15,1
151.27,0.731,5620,95,393,22.87,N,137,1225,4,0
104.05,0.858,5692,22,789,62.3,Y,272,1190,14,1
112.95,0.663,4128,202,99,53.68,N,80,1643,27,1
169.77,0.502,5703,210,718,21.38,N,8,1992,33,1
10.0,0.723,4727,145,391,73.34,N,54,1089,25,0
42.21,0.521,696,216,13,67.68,N,174,1576,1,0
31.07,0.49,4273,234,697,33.84,N,177,1611,23,1
10.0,0.568,6618,156,36,193.12,N,162,1715,7,1
79.3,0.422,2477,19,375,134.47,Y,350,476,24,0
164.97,0.273,5169,261,203,81.07,Y,239,945,16,1
102.91,0.49,7378,142,588,149.36,Y,268,680,21,1
131.87,0.287,3859,203,65,174.74,Y,49,1520,23,0
185.35,0.487,5003,273,100,199.13,N,172,959,25,1
199.66,0.59,3044,111,536,43.48,Y,228,1202,0,1
115.85,0.851,7441,188,993,149.32,N,215,783,38,2
201.22,0.225,4875,10,49,67.91,Y,345,1258,23,1
125.53,0.635,5070,266,466,92.69,N,176,826,20,1
69.76,0.52,7031,22,804,45.48,Y,138,1955,15,1
84.34,0.214,5992,164,297,78.12,Y,344,1788,4,0
31.17,0.375,3687,108,498,150.85,Y,126,1590,25,0
66.71,0.283,4029,15,840,234.14,N,210,1319,14,1
98.52,0.352,5742,141,730,72.2,Y,15,277,36,0
168.22,0.392,4064,281,300,34.9,N,64,1225,26,1
223.25,0.481,1824,54,753,257.83,N,25,1043,17,1
37.07,0.57,4920,91,679,41.96,N,155,1648,1,0
143.57,0.201,2780,60,511,14.29,N,340,1872,22,2
57.57,0.313,7424,41,446,48.76,N,30,1695,33,1
148.48,0.265,5265,72,926,168.83,N,356,2258,18,1
112.13,0.585,3642,173,875,39.46,Y,317,1159,26,1
10.15,0.43,3952,235,990,26.79,N,7,1134,4,0
175.7,0.584,2166,208,678,86.17,Y,10,2123,16,1
83.7,0.355,3351,232,365,234.22,N,329,1600,31,1
87.97,0.217,6524,216,118,111.94,Y,215,1352,16,1
55.81,0.859,8348,117,134,22.48,Y,67,2608,35,1
80.74,0.276,6090,270,951,319.22,N,348,1847,16,1
145.67,0.289,4862,55,369,102.34,Y,207,1386,32,0
108.65,0.303,4352,211,119,157.08,Y,233,1088,25,0
139.72,0.887,3565,37,231,17.59,Y,249,2296,37,1
141.72,0.632,8090,230,30,283.87,N,77,1624,21,1
199.24,0.627,4717,30,535,57.47,Y,134,1515,18,1
99.43,0.891,8173,68,595,15.96,Y,51,1906,14,1
31.39,0.262,7090,120,384,94.23,N,195,2028,26,1
184.03,0.882,2389,209,746,157.03,N,360,1830,39,2
100.11,0.343,4001,18,485,124.62,Y,230,2030,6,1
186.88,0.636,3996,80,960,123.03,Y,254,1771,37,1
143.0,0.494,4880,103,765,116.65,Y,74,1833,39,0
112.13,0.469,4910,220,84,87.85,N,200,1061,30,1
140.93,0.852,9494,288,281,17.51,Y,362,2586,23,2
237.06,0.304,3384,186,756,67.09,Y,36,760,34,1
244.62,0.898,5343,154,542,59.73,Y,78,1686,10,1
124.16,0.465,5925,104,755,199.68,N,264,698,25,1
129.61,0.654,4998,247,341,169.01,Y,8,1441,32,0
