order_date,category,price
2020-08-29,Cold Drinks,15.9
2024-04-30,Pizza,42.32
2025-03-12,Cake,49.15
2024-08-01,Cake,21.29
2021-07-15,Tea,15.63
2021-05-09,Tea,23.9
2021-01-03,Snacks,46.53
2020-11-30,Cold Drinks,46.09
2022-06-05,Tea,17.94
2024-06-12,Cake,26.67
2023-05-29,Cold Drinks,7.72
2021-07-29,Cake,33.34
2022-01-22,Coffee,31.82
2022-11-23,Cake,7.17
2020-02-14,Snacks,28.86
2024-02-05,Merchandise,5.3
2020-02-08,Coffee,41.91
2020-07-02,Coffee,6.12
2021-09-14,Snacks,12.63
2024-11-18,Cold Drinks,40.75
2020-07-15,Cold Drinks,19.22
2020-12-31,Snacks,34.12
2021-09-06,Tea,19.48
2020-05-14,Coffee,34.24
2020-09-14,Tea,15.15
2023-10-04,Cake,11.35
2024-01-30,Coffee,10.82
2023-04-06,Coffee,16.03
2023-10-06,Pizza,32.7
2020-06-28,Merchandise,8.22
2020-08-19,Cold Drinks,40.87
2021-02-20,Coffee,29.97
2022-02-05,Cold Drinks,30.6
2024-04-23,Cake,30.91
2025-02-11,Cold Drinks,46.41
2021-05-08,Tea,41.96
2021-07-29,Tea,21.35
2021-12-11,Pizza,23.14
2024-05-20,Merchandise,13.09
2023-02-04,Cake,14.4
2022-09-30,Tea,44.18
2024-06-16,Snacks,28.23
2022-02-28,Cake,25.79
2021-11-18,Cold Drinks,21.64
2021-07-18,Cake,20.16
2021-02-13,Merchandise,36.68
2022-02-20,Tea,37.12
2024-06-27,Cake,12.53
2021-06-10,Cold Drinks,44.19
2024-11-25,Pizza,35.08
2022-11-19,Pizza,8.14
2021-12-26,Tea,34.54
2020-07-27,Pizza,33.99
2024-11-16,Snacks,38.19
2022-05-20,Merchandise,29.48
2025-03-03,Pizza,19.69
2024-09-18,Pizza,24.71
2024-02-24,Snacks,40.54
2021-08-08,Merchandise,39.37
2024-04-04,Cake,28.99
2022-08-24,Merchandise,44.72
2022-07-27,Coffee,6.85
2020-05-12,Tea,22.52
2024-10-05,Tea,48.04
2023-03-12,Coffee,19.16
2024-05-26,Snacks,20.47
2023-05-19,Coffee,30.95
2024-09-05,Cake,33.74
2023-05-27,Cake,28.33
2022-03-21,Tea,35.2
2023-03-12,Cake,18.2
2024-07-04,Tea,44.2
2022-12-22,Coffee,46.35
2022-11-23,Coffee,10.35
2022-01-13,Pizza,7.08
2023-12-17,Pizza,36.7
2022-10-02,Coffee,39.8
2024-06-08,Tea,36.04
2022-01-21,Coffee,34.54
2022-11-04,Coffee,25.81
2020-03-20,Cold Drinks,34.39
2021-10-20,Snacks,33.06
2022-04-06,Coffee,45.93
2021-06-25,Cake,20.47
2020-02-08,Tea,16.36
2023-07-05,Snacks,29.68
2022-02-02,Pizza,34.53
2020-08-18,Merchandise,30.59
2022-02-17,Tea,49.97
2021-01-05,Cake,14.11
2020-08-26,Tea,6.59
2021-03-20,Pizza,15.97
2021-11-06,Cake,40.27
2025-01-13,Cake,8.74
2022-09-05,Merchandise,20.06
2025-01-22,Tea,5.43
2022-10-23,Cold Drinks,41.07
2021-01-21,Merchandise,44.26
2021-12-26,Cold Drinks,18.38
2022-10-24,Merchandise,41.73
2024-04-12,Tea,7.39
2020-10-18,Coffee,49.27
2023-02-09,Coffee,31.96
2021-12-30,Pizza,35.02
2023-09-18,Merchandise,25.64
2022-02-08,Snacks,34.29
2020-01-31,Merchandise,19.85
2021-05-09,Merchandise,36.19
2020-10-24,Merchandise,42.51
2023-12-14,Cold Drinks,28.88
2021-02-07,Pizza,17.58
2025-02-07,Coffee,13.82
2024-08-07,Pizza,12.63
2023-01-08,Pizza,48.89
2024-01-27,Pizza,8.89
2020-11-30,Coffee,34.14
2023-02-13,Coffee,46.8
2023-02-08,Merchandise,12.06
2020-11-04,Pizza,9.15
2022-12-23,Snacks,9.08
2024-06-20,Cold Drinks,33.41
2023-02-14,Cold Drinks,47.44
2022-12-25,Coffee,19.57
2020-05-28,Tea,26.35
2020-12-26,Tea,14.1
2022-01-12,Tea,27.38
2024-10-21,Cake,27.64
2024-05-23,Merchandise,30.14
2020-06-09,Tea,39.7
2021-10-12,Merchandise,27.4
2024-12-27,Tea,32.5
2023-12-30,Snacks,7.64
2020-07-25,Merchandise,48.66
2025-03-06,Tea,46.1
2023-03-10,Cold Drinks,39.4
2020-05-02,Coffee,17.88
2024-05-06,Merchandise,12.95
2023-10-06,Cold Drinks,7.25
2022-06-02,Cold Drinks,37.08
2022-07-25,Cold Drinks,13.35
2023-12-08,Cake,19.05
2021-08-19,Coffee,6.26
2020-10-12,Coffee,8.86
2020-09-20,Pizza,22.07
2022-09-14,Cake,20.37
2021-10-02,Cold Drinks,44.28
2021-02-24,Coffee,31
2020-09-15,Coffee,24.58
2020-10-01,Cold Drinks,41.13
2024-01-22,Cold Drinks,40.18
2021-11-07,Tea,36.75
2021-07-30,Tea,5.35
2021-04-08,Merchandise,43.31
2021-09-10,Merchandise,27.51
2020-06-08,Merchandise,43.73
2023-06-15,Tea,16.74
2024-04-21,Cold Drinks,10.17
2024-08-26,Merchandise,21.08
2021-03-15,Coffee,48.96
2020-06-23,Tea,25.69
2023-04-29,Merchandise,9.47
2023-01-29,Coffee,43.95
2022-11-03,Merchandise,45.96
2022-01-26,Snacks,40.81
2021-05-20,Cold Drinks,44.77
2022-06-09,Cold Drinks,33.6
2022-02-13,Merchandise,43.39
2025-01-03,Snacks,17.76
2024-11-11,Merchandise,35.41
2025-02-12,Pizza,7.43
2022-07-27,Pizza,12.75
2024-07-14,Cold Drinks,8.75
2020-12-30,Cake,25.34
2020-06-12,Pizza,26.68
2025-01-15,Pizza,47.19
2022-07-17,Merchandise,41.24
2023-10-04,Tea,39.51
2023-09-07,Tea,23.28
2022-04-05,Snacks,28.27
2020-10-09,Tea,47.41
2025-01-12,Coffee,12.61
2023-03-21,Cake,12.73
2022-12-09,Pizza,11.3
2023-05-12,Cake,22.39
2023-09-26,Coffee,11.18
2021-07-04,Pizza,17
2021-01-03,Snacks,36.21
2020-06-21,Coffee,20.91
2021-12-03,Coffee,32.22
2023-01-31,Cake,41.59
2022-07-09,Merchandise,6.49
2020-05-17,Cake,46.31
2021-06-23,Cold Drinks,19.96
2022-10-26,Cake,18.92
2020-07-28,Tea,48.27
2021-11-22,Coffee,33.07
2022-12-08,Cake,14.54
2022-05-28,Coffee,19.75
2024-01-31,Cold Drinks,23.79
2021-07-23,Tea,37.93
2023-06-08,Coffee,27.7
2023-04-11,Cake,35.46
2022-12-29,Coffee,45.84
2020-07-28,Pizza,9.69
2024-09-19,Cold Drinks,20.45
2024-11-01,Tea,40.23
2020-06-09,Merchandise,8.6
2024-12-21,Coffee,49.69
2020-03-10,Cake,39.44
2021-02-05,Tea,9.44
2022-04-04,Cake,47.6
2020-10-21,Cake,8.98
2021-03-06,Coffee,29.59
2022-11-05,Cake,40.29
2020-12-07,Coffee,36.62
2023-07-13,Merchandise,43.54
2021-11-18,Pizza,29.73
2020-03-20,Cake,10.67
2021-08-24,Cake,26
2020-07-20,Cake,11.44
2024-04-29,Snacks,46.52
2021-11-02,Snacks,27.63
2020-07-26,Tea,16.13
2020-05-01,Pizza,36.68
2020-04-14,Pizza,26.7
2020-11-07,Snacks,10.43
2024-07-14,Tea,17.23
2021-01-14,Snacks,18.06
2020-07-27,Merchandise,24.14
2023-05-10,Tea,49.58
2023-05-17,Pizza,39.68
2023-06-25,Pizza,37.07
2024-10-28,Snacks,19.88
2024-05-06,Merchandise,26.37
2022-10-02,Snacks,32.61
2024-11-20,Cold Drinks,6.36
2020-12-12,Coffee,42.41
2020-05-05,Coffee,35.09
2022-12-28,Merchandise,24.31
2023-05-26,Cake,38.96
2022-07-02,Cake,18.19
2021-01-24,Coffee,14.71
2024-07-30,Coffee,14.27
2022-05-02,Cake,35.57
2020-05-11,Tea,30.4
2025-03-10,Cake,47.44
2021-01-28,Snacks,28.75
2021-08-16,Tea,39.87
2020-05-16,Snacks,17.93
2023-02-25,Coffee,6.79
2020-09-02,Tea,10.61
2022-05-14,Snacks,43.29
2024-11-21,Snacks,30.25
2021-06-26,Tea,11.5
2024-01-24,Merchandise,30.92
2023-10-12,Cold Drinks,43.09
2022-06-12,Cake,44.56
2024-07-19,Pizza,12.38
2023-08-26,Snacks,42.59
2023-07-16,Cake,15.28
2022-10-18,Cold Drinks,10.75
2023-10-24,Pizza,40.3
2021-02-01,Cake,25
2022-07-09,Coffee,6.19
2024-09-30,Pizza,47.22
2023-05-20,Cold Drinks,40.82
2021-04-10,Cake,26.11
2020-05-11,Snacks,8.15
2022-09-03,Pizza,9.36
2024-03-18,Coffee,10.62
2021-08-22,Tea,25.5
2023-02-24,Snacks,46.9
2022-02-26,Coffee,23.14
2023-07-13,Coffee,27.39
2022-07-13,Pizza,46
2022-03-29,Cake,28.51
2021-07-14,Tea,11.17
2024-09-28,Snacks,31.85
2021-03-18,Snacks,5.62
2023-09-02,Cake,15.55
2022-06-06,Tea,17.82
2022-02-16,Pizza,21.48
2024-10-24,Snacks,36.3
2024-02-28,Tea,31.91
2024-05-02,Pizza,31.54
2023-08-29,Pizza,6.01
2021-04-18,Cold Drinks,27.68
2021-02-14,Snacks,14.25
2020-04-28,Cake,48.54
2024-10-30,Merchandise,26.18
2024-03-05,Snacks,19.2
2024-03-25,Cold Drinks,37.37
2024-01-05,Coffee,28.87
2021-03-28,Coffee,24.01
2021-09-20,Pizza,18.21
2023-04-11,Merchandise,6.14
2022-10-27,Cold Drinks,18.57
2025-01-22,Snacks,36.04
2025-02-27,Coffee,29.29
2020-01-21,Coffee,30.37
2024-07-03,Snacks,12.49
2024-08-19,Cold Drinks,15.56
2023-11-18,Tea,17.28
2021-06-15,Pizza,10.6
2021-06-07,Snacks,40.1
2024-06-30,Tea,21.42
2024-12-31,Pizza,38.41
2023-01-07,Merchandise,44.6
2021-05-03,Cake,39.81
2024-09-12,Pizza,48.09
2023-09-21,Merchandise,30.09
2024-04-27,Cake,17.78
2021-04-07,Coffee,35.32
2023-08-10,Coffee,30.19
2020-05-16,Coffee,32.36
2024-04-18,Pizza,10.35
2020-02-02,Tea,20.18
2020-08-20,Cake,22.54
2022-08-21,Coffee,45.19
2021-07-23,Cold Drinks,29.07
2024-02-20,Snacks,26.86
2022-04-24,Cake,24.64
2025-03-23,Cake,7.35
2022-01-23,Tea,45.98
2022-03-13,Merchandise,46.64
2020-05-08,Tea,47.83
2020-06-20,Coffee,38.35
2022-01-19,Snacks,43.26
2022-11-11,Snacks,26.15
2021-05-11,Cold Drinks,14.54
2024-12-26,Cold Drinks,5.1
2020-05-26,Coffee,10.18
2022-10-17,Snacks,41.3
2023-12-05,Tea,31.94
2022-10-04,Pizza,8.64
2024-07-09,Tea,8.55
2021-03-22,Pizza,18.67
2020-10-21,Coffee,38.14
2021-12-31,Snacks,28.01
2024-07-27,Cold Drinks,16.74
2021-12-13,Cake,12.87
2023-04-29,Cold Drinks,8.59
2020-12-03,Merchandise,10.52
2023-05-09,Cake,24.07
2022-01-21,Pizza,39.1
2020-03-29,Tea,44.24
2025-02-02,Tea,44.9
2023-08-05,Cold Drinks,44.02
2022-01-11,Tea,24.52
2024-07-18,Cold Drinks,17.8
2021-12-27,Cold Drinks,14.61
2025-03-04,Tea,41.69
2023-06-26,Merchandise,12.67
2025-03-15,Coffee,49.64
2021-11-03,Tea,37.88
2020-02-17,Pizza,30.87
2025-03-31,Snacks,29.45
2021-02-03,Cold Drinks,34.29
2021-05-16,Merchandise,22.39
2022-03-26,Cold Drinks,10.1
2023-02-12,Pizza,20.08
2023-08-09,Cold Drinks,28.68
2023-04-21,Pizza,43.89
2022-01-04,Cold Drinks,34.25
2022-09-14,Tea,29.17
2022-03-29,Snacks,20.42
2023-04-09,Tea,37.63
2024-09-04,Cold Drinks,40.31
2023-07-19,Pizza,43.6
2021-03-24,Coffee,46.05
2024-11-12,Merchandise,41.48
2021-07-04,Cold Drinks,11.82
2024-04-23,Coffee,15.74
2020-06-06,Cold Drinks,15.85
2025-03-12,Merchandise,39.15
2023-04-08,Tea,13.39
2021-03-28,Tea,38.85
2022-01-01,Cold Drinks,34.36
2023-02-28,Merchandise,21.9
2020-03-14,Snacks,49.09
2023-09-09,Snacks,37.47
2021-01-04,Cold Drinks,21.96
2021-03-10,Cold Drinks,29.57
2021-09-17,Cold Drinks,20.4
2021-10-07,Tea,45.09
2020-03-29,Tea,18.5
2021-08-29,Coffee,30.02
2020-08-10,Pizza,27.46
2024-01-23,Tea,19.46
2021-01-17,Merchandise,39.12
2024-08-23,Snacks,33.07
2022-04-13,Snacks,45.23
2024-02-18,Cold Drinks,40.48
2025-02-08,Coffee,38.09
2024-09-08,Cold Drinks,37.91
2021-07-29,Snacks,24.59
2023-10-26,Snacks,27.6
2020-02-01,Pizza,27.48
2025-02-04,Cake,21.87
2021-02-22,Merchandise,35.51
2024-02-08,Pizza,29.19
2020-08-20,Cold Drinks,7.87
2023-02-01,Cake,26.51
2021-06-05,Snacks,21.22
2021-03-18,Coffee,35.82
2025-03-31,Coffee,47.76
2024-06-24,Snacks,45.5
2024-09-22,Tea,22.11
2023-10-18,Cake,25.36
2023-01-19,Snacks,46.38
2024-06-16,Coffee,8.53
2020-03-27,Coffee,42.89
2024-01-28,Cake,42.53
2020-03-06,Merchandise,29.15
2020-01-04,Snacks,48.72
2023-03-11,Pizza,32.83
2024-10-13,Cold Drinks,22.7
2024-01-14,Snacks,21.36
2025-03-25,Merchandise,25.18
2022-01-11,Cake,43.01
2020-02-03,Cake,25.84
2025-02-20,Coffee,10.3
2023-01-07,Merchandise,6.08
2022-01-04,Cake,16.22
2023-05-18,Tea,5.41
2021-07-23,Snacks,23.49
2021-08-15,Coffee,43.89
2021-11-04,Pizza,8.59
2023-05-06,Merchandise,12.11
2023-10-30,Coffee,43.27
2025-03-29,Cake,7.96
2021-03-30,Cold Drinks,44.55
2023-07-20,Cake,19.08
2025-02-22,Pizza,8.64
2021-01-22,Pizza,26.41
2023-06-14,Pizza,43.33
2020-08-21,Pizza,26.2
2022-04-30,Pizza,16.55
2023-07-10,Tea,19.4
2020-12-26,Snacks,41.97
2022-06-25,Merchandise,12.76
2024-04-14,Coffee,21.42
2025-01-26,Pizza,35.97
2020-06-10,Snacks,10.88
2024-04-14,Cake,36.57
2020-07-04,Snacks,33.38
2020-11-19,Pizza,30.24
2022-10-22,Cold Drinks,16.65
2024-10-15,Coffee,10.35
2022-08-31,Pizza,19.44
2021-01-15,Snacks,37.87
2021-01-09,Cake,10.49
2020-12-20,Snacks,41.38
2020-09-08,Pizza,44.88
2021-09-02,Merchandise,49.73
2022-08-15,Snacks,20.52
2024-03-24,Merchandise,17.5
2023-02-27,Pizza,17.66
2022-07-04,Snacks,15.15
2023-08-30,Cake,24.3
2022-05-23,Tea,46.24
2020-10-27,Tea,25.88
2020-05-01,Merchandise,15.78
2020-05-18,Pizza,8.77
2021-03-30,Merchandise,30.03
2020-10-21,Pizza,15.22
2024-09-14,Pizza,39.76
2024-06-29,Tea,40
2024-12-03,Cake,43.31
2024-10-04,Cake,43.2
2022-02-08,Snacks,27.56
2024-10-26,Merchandise,32.9
2023-05-10,Cake,34.99
2024-03-04,Cold Drinks,30.15
2025-03-15,Coffee,14.15
2023-06-22,Snacks,43.41
2024-04-11,Snacks,45.59
2022-01-12,Tea,46.57
2024-02-10,Merchandise,28.02
2020-12-04,Cold Drinks,48.65
2024-07-04,Cake,49.54
2024-01-06,Cake,8.89
2022-12-17,Pizza,21.51
2023-08-11,Snacks,40.69
2025-01-24,Merchandise,39.47
2020-11-15,Merchandise,47.49
2024-02-27,Merchandise,46.08
2020-10-03,Pizza,26.05
2022-12-09,Tea,12.06
2020-09-17,Cake,19.23
2023-10-25,Merchandise,36.37
2024-09-18,Cold Drinks,31.44
2023-03-25,Cold Drinks,35.97
2020-10-21,Pizza,47.15
2021-05-15,Tea,9.13
2020-04-09,Pizza,19.46
2020-01-24,Coffee,16.34
2022-05-11,Snacks,45.45
2022-04-14,Cake,22.61
2020-04-02,Pizza,45.26
2020-10-19,Pizza,13.18
2023-05-03,Cake,14.46
2020-07-07,Snacks,12.01
2025-02-16,Coffee,43.62
2022-04-12,Cold Drinks,39.65
2023-06-22,Cold Drinks,38.6
2023-07-10,Tea,8.94
2024-05-22,Pizza,48.84
2021-01-23,Snacks,23.04
2022-10-31,Tea,41.15
2021-07-12,Cold Drinks,30.32
2024-10-25,Tea,13.91
2024-03-09,Tea,43.71
2021-11-29,Coffee,23.77
2024-02-03,Coffee,40.59
2020-08-02,Tea,12.52
2023-10-05,Merchandise,24.98
2021-05-30,Cake,13.88
2024-02-24,Cold Drinks,46.09
2023-07-06,Cold Drinks,43.9
2020-04-07,Coffee,8.61
2021-01-22,Merchandise,22.57
2021-11-20,Merchandise,36.92
2021-03-03,Pizza,37.17
2022-12-26,Cake,13.52
2024-03-08,Tea,10.77
2020-02-05,Pizza,8.07
2021-07-08,Pizza,15.92
2023-02-10,Merchandise,38.56
2024-12-27,Merchandise,45.73
2020-08-26,Merchandise,14.19
2024-02-11,Tea,39.55
2023-12-21,Tea,11.91
2020-02-26,Pizza,29.39
2020-08-08,Pizza,6.92
2023-04-08,Coffee,8.47
2023-06-05,Cold Drinks,21.77
2024-12-02,Cold Drinks,26.14
2023-07-22,Cold Drinks,29.54
2024-04-11,Coffee,40.59
2022-07-26,Cold Drinks,23.18
2023-09-30,Merchandise,23.84
2022-03-11,Tea,28.15
2020-08-03,Tea,16.85
2024-04-15,Cold Drinks,11.33
2023-01-01,Pizza,9.31
2021-07-17,Cake,32.14
2020-10-07,Merchandise,34.49
2021-09-03,Coffee,15.52
2024-04-22,Cake,20.97
2022-06-08,Tea,7.06
2020-08-15,Cold Drinks,23.38
2020-07-27,Coffee,41.36
2024-03-09,Merchandise,31.13
2025-02-08,Tea,8.17
2022-11-24,Cold Drinks,10.28
2022-07-11,Merchandise,36.67
2022-05-12,Pizza,29.35
2020-10-18,Cake,23.45
2021-03-30,Cake,31.67
2025-02-12,Cake,19.88
2024-05-17,Snacks,5.6
2023-06-22,Cold Drinks,33.97
2022-07-01,Merchandise,19.71
2023-03-17,Cake,20.16
2020-07-07,Cold Drinks,20.51
2020-06-08,Pizza,31.89
2020-05-14,Cake,48.24
2023-03-28,Merchandise,18.47
2025-02-08,Cold Drinks,11.29
2024-03-15,Cake,33.85
2025-02-26,Merchandise,49.55
2022-08-18,Tea,18.03
2021-10-04,Pizza,8.58
2021-04-18,Cold Drinks,33.83
2024-09-20,Merchandise,41.14
2024-08-23,Merchandise,32.09
2022-03-20,Snacks,15.8
2023-12-22,Cold Drinks,24.89
2024-11-20,Tea,36.93
2023-01-27,Cold Drinks,18.31
2022-11-19,Pizza,11.49
2021-03-14,Snacks,5.72
2022-01-27,Cold Drinks,9.55
2023-06-24,Cold Drinks,36.4
2021-03-01,Cake,32.38
2021-03-08,Merchandise,8.01
2021-06-30,Pizza,20.99
2024-10-21,Tea,39.02
2021-06-23,Snacks,22.09
2022-02-10,Merchandise,46.27
2020-08-01,Coffee,12.71
2023-02-17,Pizza,11.39
2024-09-15,Snacks,17.87
2024-09-05,Tea,31.43
2023-12-21,Snacks,37.45
2023-10-13,Snacks,17.27
2024-09-10,Snacks,9.32
2024-09-07,Cake,36.47
2021-08-10,Coffee,44.31
2025-03-02,Tea,39.48
2021-09-13,Tea,27.93
2020-09-17,Tea,43.88
2020-05-26,Merchandise,35.57
2022-01-17,Pizza,35.18
2023-09-24,Tea,11.68
2023-04-01,Pizza,36.9
2021-02-25,Tea,44.08
2022-12-17,Coffee,14.2
2024-07-13,Merchandise,20.07
2024-08-14,Merchandise,45.05
2020-11-03,Snacks,49.19
2023-07-12,Cake,48.93
2024-07-20,Merchandise,22.69
2023-05-12,Merchandise,48.71
2021-01-10,Coffee,33.89
2023-08-18,Tea,49.46
2023-10-03,Cold Drinks,16.08
2021-10-28,Merchandise,20.69
2024-12-31,Merchandise,42.33
2022-11-04,Cold Drinks,8.98
2024-12-16,Cake,28.98
2021-06-15,Pizza,22.73
2021-04-30,Coffee,34.82
2021-01-29,Cold Drinks,25.18
2020-02-29,Cold Drinks,41.34
2020-10-13,Cake,16.5
2021-05-10,Merchandise,17.12
2023-11-14,Merchandise,38.37
2022-06-30,Coffee,30.3
2021-09-12,Snacks,31.74
2024-08-14,Snacks,40.35
2024-12-31,Cold Drinks,46.89
2023-09-02,Merchandise,11.53
2020-09-15,Cold Drinks,24.12
2021-03-05,Cold Drinks,36.1
2022-02-11,Merchandise,36.85
2022-07-05,Cake,43.49
2020-01-08,Pizza,6.01
2024-07-04,Pizza,43.82
2020-08-21,Cake,19.58
2021-03-25,Cold Drinks,5.13
2024-01-12,Cake,26.97
2022-05-11,Tea,42.09
2023-03-08,Merchandise,29.32
2024-08-16,Tea,24.11
2025-03-16,Snacks,37.79
2024-11-29,Merchandise,49.1
2025-03-14,Merchandise,16.28
2024-07-02,Coffee,33.34
2021-04-02,Merchandise,5.98
2024-02-03,Snacks,35.61
